"MUSIC","TOTAL1","COUNTS","BOOK_CD","CHAPTER_CD","VERSE_CD","SEQ_NO","NOTES","SYLL_VERSE"
"e pas,e B z-q,g# B ^A g# f e ",1,1,"GENESIS","006","001",1,"e B g B ^A g f e ",24
"e C e pas,B z-q,f g# ^A C pas,z-q,g# f e ",1,1,"GENESIS","006","002",1,"e C e B f g ^A C g f e ",34
"e B rev,e qad,C pas,z-q,g# B ^A B z-q,f g# e ",1,1,"GENESIS","006","003",1,"e B e C g B ^A B f g e ",34
"e tar,B tsi,B seg,B rev,qad,azl,C e pas,B z-q,g# ^A c d f g# f e ",1,1,"GENESIS","006","004",1,"e B C e B g ^A c d f g f e ",56
"e B z-q,f d f g# ^A pas,pas,B z-q,f g# e ",1,1,"GENESIS","006","005",1,"e B f d f g ^A B f g e ",29
"e B z-q,e f g# ^A g# e ",1,1,"GENESIS","006","006",1,"e B e f g ^A g e ",23
"e B rev,qad,C pas,pas,pas,B z-q,e pas,z-q,g# B ^A f g# f e ",1,1,"GENESIS","006","007",1,"e B C B e g B ^A f g f e ",49
"e z-g,f g# f e ",4,2,"GENESIS","006","008",1,"e f g f e ",11
"C B z-q,rev,f d f g# ^A g# e ",1,1,"GENESIS","006","009",1,"C B f d f g ^A g e ",29
"e f g# B ^A g# f e ",48,6,"GENESIS","006","010",1,"e f g B ^A g f e ",18
"e f g# B ^A f g# e ",67,11,"GENESIS","006","011",1,"e f g B ^A f g e ",22
"e qad,azl,rev,C pas,B z-q,e f d g# ^A f g# e ",1,1,"GENESIS","006","013",1,"e C B e f d g ^A f g e ",38
"e C pas,B z-q,g# B ^A f d f g# e ",1,1,"GENESIS","006","014",1,"e C B g B ^A f d f g e ",34
"B B rev,pas,B z-q,f g# B ^A d f g# e ",1,1,"GENESIS","006","016",1,"B f g B ^A d f g e ",43
"e rev,t-q,qad,f pas,pas,z-q,B rev,pas,B z-q,g# ^A f g# e ",1,1,"GENESIS","006","017",1,"e f B g ^A f g e ",45
"e B rev,pas,z-q,d f g# ^A c d f g# e ",1,1,"GENESIS","006","020",1,"e B d f g ^A c d f g e ",42
"e B rev,e pas,B z-q,g# ^A f d g# e ",1,1,"GENESIS","006","021",1,"e B e B g ^A f d g e ",34
"e g# ^A t-g,qad,f d g# f e ",1,1,"GENESIS","006","022",1,"e g ^A f d g f e ",19
"e B B rev,e d f g# B ^A paz,t-g,B f d g# f e ",1,1,"GENESIS","007","002",1,"e B e d f g B ^A B f d g f e ",39
"B c d f g# B ^A f g# f e ",1,1,"GENESIS","007","003",1,"B c d f g B ^A f g f e ",28
"e g# ^A f g# e ",56,4,"GENESIS","007","005",1,"e g ^A f g e ",14
"e z-g,f g# ^A B z-q,g# e ",1,1,"GENESIS","007","006",1,"e f g ^A B g e ",21
"e B rev,t-g,c e d g# ^A g# f e ",1,1,"GENESIS","007","007",1,"e B c e d g ^A g f e ",27
"e pas,z-q,qad,z-q,f g# ^A qad,z-q,f g# e ",1,1,"GENESIS","007","008",1,"e f g ^A f g e ",35
"e qad,azl,c d g# B ^A d f g# e ",1,1,"GENESIS","007","009",1,"e c d g B ^A d f g e ",31
"e qad,C pas,z-q,pas,pas,z-q,e f g# ^A B rev,pas,pas,B z-q,f g# e ",1,1,"GENESIS","007","011",1,"e C e f g ^A B f g e ",53
"e f g# ^A B z-q,g# e ",24,4,"GENESIS","007","012",1,"e f g ^A B g e ",19
"azl,e B rev,pas,z-q,d f g# ^A B z-q,g# f e ",1,1,"GENESIS","007","014",1,"e B d f g ^A B g f e ",48
"e f g# ^A C pas,pas,z-q,g# f e ",4,1,"GENESIS","007","015",1,"e f g ^A C g f e ",29
"e rev,qad,C pas,z-q,d f g# ^A f g# e ",1,1,"GENESIS","007","016",1,"e C d f g ^A f g e ",33
"e f d f g# ^A f g# f e ",3,1,"GENESIS","007","018",1,"e f d f g ^A f g f e ",28
"e rev,f d f g# ^A rev,e pas,z-q,g# e ",1,1,"GENESIS","007","019",1,"e f d f g ^A e g e ",33
"e qad,C pas,z-q,g# ^A g# e ",3,1,"GENESIS","007","020",1,"e C g ^A g e ",20
"paz,t-q,qad,azl,rev,d f g# e ",1,1,"GENESIS","007","022",1,"d f g e ",22
"e azl,e B B B e rev,C pas,pas,pas,B z-q,g# ^A c d f g# e ",1,1,"GENESIS","007","023",1,"e B e C B g ^A c d f g e ",55
"e f g# ^A f g# e ",91,8,"GENESIS","007","024",1,"e f g ^A f g e ",17
"e pas,B z-q,g# ^A f g# e ",12,2,"GENESIS","008","002",1,"e B g ^A f g e ",29
"e c d f g# B ^A B z-q,z-g,f g# e ",1,1,"GENESIS","008","003",1,"e c d f g B ^A B f g e ",31
"e C pas,B z-q,f g# ^A g# f e ",8,2,"GENESIS","008","004",1,"e C B f g ^A g f e ",27
"e g# ^A C pas,z-q,f g# f e ",3,1,"GENESIS","008","007",1,"e g ^A C f g f e ",26
"e f g# ^A pas,B z-q,g# f e ",8,1,"GENESIS","008","008",1,"e f g ^A B g f e ",26
"e t-q,qad,azl,rev,C pas,z-q,g# B ^A C pas,z-q,f d g# e ",1,1,"GENESIS","008","009",1,"e C g B ^A C f d g e ",54
"e qad,C pas,B z-q,f g# B ^A B z-q,f g# f e ",1,1,"GENESIS","008","011",1,"e C B f g B ^A B f g f e ",40
"e B z-q,f g# ^A pas,z-q,f g# e ",1,1,"GENESIS","008","012",1,"e B f g ^A f g e ",27
"e pas,pas,z-q,c d g# ^A g# e ",1,1,"GENESIS","008","014",1,"e c d g ^A g e ",22
"e f g# f e ",190,3,"GENESIS","008","015",1,"e f g f e ",11
"g# ^A z-g,d f e g# e ",1,1,"GENESIS","008","016",1,"g ^A d f e g e ",22
"e qad,e azl,rev,c d d f g# B ^A B z-q,f g# e ",1,1,"GENESIS","008","017",1,"e c d f g B ^A B f g e ",50
"e g# ^A d f e g# e ",1,1,"GENESIS","008","018",1,"e g ^A d f e g e ",17
